STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt
Telangana,1,Sitting MP,1,Dr. Abhishek Manu Singhvi (2026-32),Rajya Sabha,Sitting Rajya Sabha,73421449.0,"Apr 10, 2026 12:00:00 AM","Apr 9, 2032 11:59:59 PM",
Maharashtra,1,Sitting MP,2,Dr. Ajeet Madhavrao Gopchade (2024-30),Rajya Sabha,Sitting Rajya Sabha,147000000.0,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",
Rajasthan,1,Sitting MP,3,Dr. Alka Singh (2026-32),Rajya Sabha,Sitting Rajya Sabha,49000000.0,"Jun 22, 2026 12:00:00 AM","Jun 21, 2032 11:59:59 PM",
Tamil Nadu,1,Sitting MP,4,Dr. Anbumani Ramadoss (2026-32),Rajya Sabha,Sitting Rajya Sabha,49356476.5,"Apr 3, 2026 12:00:00 AM","Apr 2, 2032 11:59:59 PM",
Maharashtra,1,Sitting MP,5,Dr. Anil Sukhdeorao Bonde (2022-28),Rajya Sabha,Sitting Rajya Sabha,196063957.11,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",
Punjab,1,Sitting MP,6,Dr. Ashok Kumar Mittal (2022-28),Rajya Sabha,Sitting Rajya Sabha,222487632.14,"Apr 10, 2022 12:00:00 AM","Apr 9, 2028 11:59:59 PM",
Bihar,1,Sitting MP,7,Dr. Bhim Singh (2024-30),Rajya Sabha,Sitting Rajya Sabha,186200000.0,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",
Karnataka,1,Nominated Rajya Sabha,8,Dr. Dharmasthala Veerendra Heggade (2022-28),Rajya Sabha,Nominated Rajya Sabha,196063957.11,"Jul 7, 2022 12:00:00 AM","Jul 6, 2028 11:59:59 PM",
Bihar,1,Sitting MP,9,Dr. Dharmshila Gupta (2024-30),Rajya Sabha,Sitting Rajya Sabha,186200000.0,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",
Uttar Pradesh,1,Sitting MP,10,Dr. Dinesh Sharma (2023-26),Rajya Sabha,Sitting Rajya Sabha,147000000.0,"Sep 11, 2023 12:00:00 AM","Nov 25, 2026 11:59:59 PM",
Bihar,1,Sitting MP,11,Dr. Faiyaz Ahmad (2022-28),Rajya Sabha,Sitting Rajya Sabha,235263957.11,"Jul 8, 2022 12:00:00 AM","Jul 7, 2028 11:59:59 PM",
Kerala,1,Sitting MP,12,Dr. John Brittas (2021-27),Rajya Sabha,Sitting Rajya Sabha,245063957.11,"Apr 24, 2021 12:00:00 AM","Apr 23, 2027 11:59:59 PM",
Maharashtra,1,Sitting MP,13,Dr. Jyoti Nagnath Waghmare (2026-32),Rajya Sabha,Sitting Rajya Sabha,49000000.0,"Apr 3, 2026 12:00:00 AM","Apr 2, 2032 11:59:59 PM",
Uttar Pradesh,1,Sitting MP,14,Dr. K. Laxman (2022-28),Rajya Sabha,Sitting Rajya Sabha,197637007.11,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",
Uttarakhand,1,Sitting MP,15,Dr. Kalpana Saini (2022-28),Rajya Sabha,Sitting Rajya Sabha,200830405.8,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",
Madhya Pradesh,1,Sitting MP,16,Dr. Kavita Patidar (2022-28),Rajya Sabha,Sitting Rajya Sabha,197118521.35000002,"Jun 30, 2022 12:00:00 AM","Jun 29, 2028 11:59:59 PM",
Madhya Pradesh,1,Sitting MP,17,Dr. L. Murugan (2024-30),Rajya Sabha,Sitting Rajya Sabha,147000000.0,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",
Uttar Pradesh,1,Sitting MP,18,Dr. Laxmikant Bajpayee (2022-28),Rajya Sabha,Sitting Rajya Sabha,196000000.0,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",
Tamil Nadu,1,Sitting MP,19,Dr. M. Dhanapal (2025-31),Rajya Sabha,Sitting Rajya Sabha,89248285.42,"Jul 25, 2025 12:00:00 AM","Jul 24, 2031 11:59:59 PM",
Tamil Nadu,1,Sitting MP,20,Dr. M. Thambi Durai (2026-32),Rajya Sabha,Sitting Rajya Sabha,49356476.5,"Apr 3, 2026 12:00:00 AM","Apr 2, 2032 11:59:59 PM",
