WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,IDA_NAME,WORK_DESCRIPTION,MP_NAME,FLAG,CONSTITUENCY_ID,LETTER_NO,ACTUAL_AMOUNT,Sno,CONSTITUENCY,ACTUAL_END_DATE,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,WORK_ID,ATTACH_ID,AVERAGE_RATING,Total_Amt
Normal/Others,WS/MP187/2023-2024/1362-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Light ( 6 lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,1,Sitting Rajya Sabha,02-Aug-2023,1362,True,262,17939,0.0,
Normal/Others,WS/MP187/2023-2024/1363-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,2,Sitting Rajya Sabha,22-Feb-2024,1363,,263,,0.0,
Normal/Others,WS/MP187/2023-2024/1364-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights ( 6 Lights),Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,3,Sitting Rajya Sabha,22-Feb-2024,1364,,264,,0.0,
Normal/Others,WS/MP187/2023-2024/1365-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,4,Sitting Rajya Sabha,22-Feb-2024,1365,,265,,0.0,
Normal/Others,WS/MP187/2023-2024/1367-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,5,Sitting Rajya Sabha,26-Feb-2024,1367,,266,,0.0,
Normal/Others,WS/MP187/2023-2024/1368-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,6,Sitting Rajya Sabha,23-Feb-2024,1368,,267,,0.0,
Normal/Others,WS/MP187/2023-2024/1369-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,7,Sitting Rajya Sabha,23-Feb-2024,1369,,268,,0.0,
Normal/Others,WS/MP187/2023-2024/1370-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,8,Sitting Rajya Sabha,23-Feb-2024,1370,True,269,2053314,0.0,
Normal/Others,WS/MP187/2023-2024/1371-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,9,Sitting Rajya Sabha,23-Feb-2024,1371,True,270,2053313,0.0,
Normal/Others,WS/MP187/2023-2024/1372-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,10,Sitting Rajya Sabha,23-Feb-2024,1372,True,271,2053312,0.0,
Normal/Others,WS/MP187/2023-2024/1373-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,11,Sitting Rajya Sabha,23-Feb-2024,1373,True,272,2053311,0.0,
Normal/Others,WS/MP187/2023-2024/1374-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,12,Sitting Rajya Sabha,23-Feb-2024,1374,True,273,2053310,0.0,
Normal/Others,WS/MP187/2023-2024/1375-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask StreetLights ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,13,Sitting Rajya Sabha,23-Feb-2024,1375,True,274,2053309,0.0,
Normal/Others,WS/MP187/2023-2024/1376-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,14,Sitting Rajya Sabha,23-Feb-2024,1376,True,275,2053308,0.0,
Normal/Others,WS/MP187/2023-2024/1377-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MaskStreet Lights ( 6 Light) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,15,Sitting Rajya Sabha,22-Feb-2024,1377,True,276,2053307,0.0,
Normal/Others,WS/MP187/2023-2024/1378-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,16,Sitting Rajya Sabha,22-Feb-2024,1378,True,277,2053306,0.0,
Normal/Others,WS/MP187/2023-2024/1379-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street  Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,17,Sitting Rajya Sabha,22-Feb-2024,1379,True,278,2053305,0.0,
Normal/Others,WS/MP187/2023-2024/1380-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,18,Sitting Rajya Sabha,22-Feb-2024,1380,True,279,2053304,0.0,
Normal/Others,WS/MP187/2023-2024/1381-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights) ,Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/4,283000.0,19,Sitting Rajya Sabha,22-Feb-2024,1381,True,280,2053303,0.0,
Normal/Others,WS/MP187/2023-2024/1419-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/5,283000.0,20,Sitting Rajya Sabha,22-Feb-2024,1419,True,281,2053302,0.0,
Normal/Others,WS/MP187/2023-2024/1420-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/5,283000.0,21,Sitting Rajya Sabha,22-Feb-2024,1420,True,282,2053301,0.0,
Normal/Others,WS/MP187/2023-2024/1421-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/5,283000.0,22,Sitting Rajya Sabha,22-Feb-2024,1421,True,283,2053300,0.0,
Normal/Others,WS/MP187/2023-2024/1422-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28),3,545,LN/MP187/2023-2024/5,283000.0,23,Sitting Rajya Sabha,22-Feb-2024,1422,True,284,2053299,0.0,
