ida_name,total_projects,completed_projects,stalled_projects,cost_anomaly_projects,total_expenditure,total_sanction,avg_rule_risk,max_rule_risk,unique_states,unique_constituencies,completion_rate,stall_rate,cost_anomaly_rate,delay_risk_normalized,cost_risk_normalized,historical_anomaly_risk,agency_risk,agency_risk_confidence,agency_risk_category
ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),272,21,0,0,27628355.0,76868000.0,0.0,0.0,2,3,0.07720588235294118,0.0,0.0,0.0,0.0,0.0,0.0,HIGH,LOW
AGRA(DISTRICT MAGISTRAE AGRA_IDA),450,133,0,0,296316458.0,433679123.0,0.6684444444444445,18.8,5,5,0.29555555555555557,0.0,0.0,0.0,0.0,0.6684444444444445,0.2,HIGH,LOW
AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),77,33,0,0,32329229.0,39874229.0,0.0,0.0,1,1,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,HIGH,LOW
AJMER(DISTRICT COLLECTOR AJMER_IDA),116,46,2,0,35826272.0,83729705.0,0.9844827586206897,57.1,1,3,0.39655172413793105,0.017241379310344827,0.0,1.7241379310344827,0.0,0.9844827586206897,1.0,HIGH,LOW
AKOLA(DISTRICT COLLECTOR AKOLA_IDA),93,41,0,0,61044842.0,99198924.0,0.0,0.0,1,2,0.44086021505376344,0.0,0.0,0.0,0.0,0.0,0.0,HIGH,LOW
ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),185,53,5,0,60130330.0,170813004.0,1.5432432432432432,57.1,1,4,0.2864864864864865,0.02702702702702703,0.0,2.7027027027027026,0.0,1.5432432432432432,1.5,HIGH,LOW
ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),122,54,4,0,137421979.0,160321459.0,1.8721311475409836,57.1,1,3,0.4426229508196721,0.03278688524590164,0.0,3.278688524590164,0.0,1.8721311475409836,1.9,HIGH,LOW
ALIRAJPUR(District Collector Alirajpur_IDA),92,16,0,0,14265670.0,34154218.0,0.0,0.0,1,1,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,HIGH,LOW
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),67,5,0,0,4086185.0,18979120.0,0.0,0.0,1,2,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,HIGH,LOW
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),158,90,3,0,87717934.1,135970321.1,1.0841772151898734,57.1,2,4,0.569620253164557,0.0189873417721519,0.0,1.89873417721519,0.0,1.0841772151898734,1.1,HIGH,LOW
AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),95,2,1,0,11755512.0,74820132.0,0.6010526315789474,57.1,1,2,0.021052631578947368,0.010526315789473684,0.0,1.0526315789473684,0.0,0.6010526315789474,0.6,HIGH,LOW
AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),235,39,1,0,68689959.0,112672825.0,0.24297872340425533,57.1,1,3,0.16595744680851063,0.00425531914893617,0.0,0.425531914893617,0.0,0.24297872340425533,0.2,HIGH,LOW
AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),331,95,15,0,168120052.0,319508103.0,2.5876132930513593,57.1,1,3,0.28700906344410876,0.045317220543806644,0.0,4.531722054380665,0.0,2.5876132930513593,2.6,HIGH,LOW
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),322,161,15,0,60718462.0,139940750.0,2.659937888198758,57.1,1,3,0.5,0.046583850931677016,0.0,4.658385093167702,0.0,2.659937888198758,2.7,HIGH,LOW
AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),319,112,9,0,121381942.0,177973390.0,2.082445141065831,57.1,2,4,0.3510971786833856,0.02821316614420063,0.0,2.8213166144200628,0.0,2.082445141065831,1.8,HIGH,LOW
AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),90,48,1,0,60258725.0,131973987.0,0.6344444444444445,57.1,1,2,0.5333333333333333,0.011111111111111112,0.0,1.1111111111111112,0.0,0.6344444444444445,0.6,HIGH,LOW
