STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt
Maharashtra,2.0,18th Lok Sabha,1.0,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,HINGOLI,190289442.0,2024-06-04,2029-06-03 23:59:59,
Jammu And Kashmir,2.0,18th Lok Sabha,2.0,ABDUL RASHID SHEIKH,Lok Sabha,BARAMULLAH,154773472.11,2024-06-04,2029-06-03 23:59:59,
Bihar,2.0,18th Lok Sabha,3.0,ABHAY KUMAR SINHA,Lok Sabha,AURANGABAD_BR,147000000.0,2024-06-04,2029-06-03 23:59:59,
West Bengal,2.0,18th Lok Sabha,4.0,ABHIJIT GANGOPADHYAY,Lok Sabha,TAMLUK,147000000.0,2024-06-04,2029-06-03 23:59:59,
West Bengal,2.0,18th Lok Sabha,5.0,Abu Taher Khan,Lok Sabha,MURSHIDABAD,147000000.0,2024-06-04,2029-06-03 23:59:59,
West Bengal,2.0,18th Lok Sabha,6.0,ADHIKARI SOUMENDU,Lok Sabha,KANTHI,147000000.0,2024-06-04,2029-06-03 23:59:59,
Uttar Pradesh,2.0,18th Lok Sabha,7.0,ADITYA YADAV,Lok Sabha,BADAUN,147000000.0,2024-06-04,2029-06-03 23:59:59,
Kerala,2.0,18th Lok Sabha,8.0,Adv Adoor Prakash,Lok Sabha,ATTINGAL,147000000.0,2024-06-04,2029-06-03 23:59:59,
Kerala,2.0,18th Lok Sabha,9.0,Adv Dean Kuriakose,Lok Sabha,IDUKKI,147000000.0,2024-06-04,2029-06-03 23:59:59,
Maharashtra,2.0,18th Lok Sabha,10.0,ADV GOWAAL KAGADA PADAVI,Lok Sabha,NANDURBAR(ST),147816309.11,2024-06-04,2029-06-03 23:59:59,
Kerala,2.0,18th Lok Sabha,11.0,ADV K FRANCIS GEORGE,Lok Sabha,KOTTAYAM,188722256.11,2024-06-04,2029-06-03 23:59:59,
Uttar Pradesh,2.0,18th Lok Sabha,12.0,AFZAL ANSARI,Lok Sabha,GHAZIPUR,220500000.0,2024-06-04,2029-06-03 23:59:59,
Jammu And Kashmir,2.0,18th Lok Sabha,13.0,AGA SYED RUHULLAH MEHDI,Lok Sabha,SRINAGAR,147000000.0,2024-06-04,2029-06-03 23:59:59,
Uttarakhand,2.0,18th Lok Sabha,14.0,Ajay Bhatt,Lok Sabha,NAINITAL UDHAM SINGH NAG.,147000000.0,2024-06-04,2029-06-03 23:59:59,
Bihar,2.0,18th Lok Sabha,15.0,Ajay Kumar Mandal,Lok Sabha,BHAGALPUR,147000000.0,2024-06-04,2029-06-03 23:59:59,
Uttarakhand,2.0,18th Lok Sabha,16.0,Ajay Tamta,Lok Sabha,ALMORA(SC),147000000.0,2024-06-04,2029-06-03 23:59:59,
Uttar Pradesh,2.0,18th Lok Sabha,17.0,AJENDRA SINGH LODHI,Lok Sabha,HAMIRPUR_UP,147000000.0,2024-06-04,2029-06-04 23:59:59,
Uttar Pradesh,2.0,18th Lok Sabha,18.0,AKHILESH YADAV,Lok Sabha,KANNAUJ,147000000.0,2024-06-04,2029-06-03 23:59:59,
Uttar Pradesh,2.0,18th Lok Sabha,19.0,AKSHAYA YADAV,Lok Sabha,FIROZABAD,147000000.0,2024-06-04,2029-06-03 23:59:59,
Manipur,2.0,18th Lok Sabha,20.0,ALFRED KANNGAM S ARTHUR,Lok Sabha,OUTER MANIPUR(ST),147000000.0,2024-06-04,2029-06-03 23:59:59,
Bihar,2.0,18th Lok Sabha,21.0,Alok Kumar Suman,Lok Sabha,GOPALGANJ (SC),147000000.0,2024-06-04,2029-06-03 23:59:59,
Madhya Pradesh,2.0,18th Lok Sabha,22.0,ALOK SHARMA,Lok Sabha,BHOPAL,147000000.0,2024-06-04,2029-06-03 23:59:59,
