WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,IDA_NAME,WORK_DESCRIPTION,MP_NAME,FLAG,CONSTITUENCY_ID,LETTER_NO,ACTUAL_AMOUNT,Sno,CONSTITUENCY,ACTUAL_END_DATE,WORK_RECOMMENDATION_DTL_ID,WORK_ID,AVERAGE_RATING,FILE_STATUS,ATTACH_ID,Total_Amt,_is_valid
Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Pradeep Kumar Singh,3.0,44.0,LN/MP418/2024-2025/26,448127.0,1.0,ARARIA,2024-09-05,133409.0,52372.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,2.0,FARIDKOT(SC),2025-04-07,133691.0,54969.0,0.0,,,,True
Normal/Others,"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Concreting of road from Janathavayanasala - Panthaplavil, ward no.6 Thrikkaruva GP, in Kollam Constituency",Shri NK Premachandran,3.0,209.0,LN/MP345/2024-2025/21,293492.0,3.0,KOLLAM,2024-08-12,134140.0,55883.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,4.0,FARIDKOT(SC),2025-04-07,133686.0,56710.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,5.0,FARIDKOT(SC),2025-04-07,133690.0,56715.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Rauwala,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,6.0,FARIDKOT(SC),2025-04-07,133689.0,56722.0,0.0,,,,True
Normal/Others,WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of Building for Brothers Library & Reading room, Puthenchantha at Panmana Grama panchayath in Chavara Constituency.",Shri NK Premachandran,3.0,209.0,LN/MP345/2024-2025/24,1182588.0,7.0,KOLLAM,2024-10-28,134143.0,56999.0,0.0,True,822763.0,,True
Normal/Others,WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Head Quarter Building for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd reach),Shri NK Premachandran,3.0,209.0,LN/MP345/2024-2025/25,338444.0,8.0,KOLLAM,2024-08-17,134144.0,57616.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,9.0,FARIDKOT(SC),2025-04-07,133694.0,57807.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133696-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,84500.0,10.0,FARIDKOT(SC),2025-04-07,133696.0,57808.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133701-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Bajakhana Main,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,84500.0,11.0,FARIDKOT(SC),2025-04-07,133701.0,57809.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,12.0,FARIDKOT(SC),2025-04-07,133693.0,57810.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133703-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhudi,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,84500.0,13.0,FARIDKOT(SC),2025-04-07,133703.0,57812.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,14.0,FARIDKOT(SC),2025-04-07,133688.0,57813.0,0.0,,,,True
Normal/Others,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gondara,SARABJEET SINGH KHALSA,3.0,330.0,LN/MP18152/2024-2025/1,300000.0,15.0,FARIDKOT(SC),2025-04-07,133687.0,57814.0,0.0,,,,True
Normal/Others,WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in Punalur Constituency (ST),Shri NK Premachandran,3.0,209.0,LN/MP345/2024-2025/16,4740188.0,16.0,KOLLAM,2024-12-06,134123.0,57817.0,0.0,True,922338.0,,True
