project_id,cost_deviation,cost_deviation_pct,expenditure_ratio,rec_san_ratio,sanction_delay_days,completion_duration_days,project_age_days,spending_velocity,velocity_ratio,payment_frequency,payment_concentration,vendor_constituency_count,category_cost_ratio,expenditure_spread_days
133166.0,0.0,0.0,1.0,1.0,1.0,97.0,784.0,634.1645408163265,0.4883066964285714,1.0,1.0,2,1.3083815789473685,0.0
133167.0,,,,1.0,437.0,,348.0,,,0.0,,0,0.5210857342358538,
133190.0,,,,1.0,77.0,,708.0,,,0.0,,0,0.4689771608122684,
133191.0,-0.43272733333333335,-43.272733333333335,0.5672726666666666,1.0,325.0,,460.0,1849.8021739130436,1.4243476739130434,1.0,1.0,2,3.9473684210526314,0.0
133301.0,0.0,0.0,1.0,1.0,44.0,165.0,740.0,537.85,0.41414449999999997,1.0,1.0,1,1.0473921052631578,0.0
133303.0,0.0,0.0,1.0,1.0,16.0,204.0,768.0,519.6666666666666,0.4001433333333333,1.0,1.0,1,1.0502736842105262,0.0
133304.0,0.0,0.0,1.0,1.0,44.0,399.0,740.0,535.3432432432433,0.41221429729729725,1.0,1.0,1,1.0425105263157894,0.0
133305.0,,,,1.0,329.0,,455.0,,,0.0,,0,1.0526315789473684,
133306.0,0.0,0.0,1.0,1.0,248.0,125.0,536.0,924.6772388059702,0.712001473880597,1.0,1.0,1,1.3042815789473685,0.0
133307.0,0.0,0.0,1.0,1.0,39.0,346.0,745.0,535.510067114094,0.41234275167785234,1.0,1.0,1,1.0498815789473683,0.0
133308.0,0.0,0.0,1.0,1.0,39.0,287.0,745.0,535.9785234899329,0.41270346308724826,1.0,1.0,1,1.0508,0.0
133309.0,0.0,0.0,1.0,1.0,248.0,228.0,536.0,923.5652985074627,0.7111452798507462,1.0,1.0,1,1.3027131578947369,0.0
133310.0,0.0,0.0,1.0,1.0,44.0,282.0,740.0,334.5716216216216,0.25762014864864863,1.0,1.0,1,0.6515342105263158,0.0
133311.0,,,,1.0,44.0,,740.0,,,0.0,,0,0.6578947368421053,
133312.0,0.0,0.0,1.0,1.0,16.0,319.0,768.0,648.5559895833334,0.49938811197916666,1.0,1.0,1,1.3107657894736842,0.0
133409.0,0.0,0.0,1.0,1.0,2.0,53.0,779.0,575.2593068035943,0.295470346966552,1.0,1.0,1,1.1792815789473685,0.0
133447.0,0.0,0.0,1.0,1.0,25.0,719.0,755.0,2123.1218543046357,2.632684262759062,1.0,1.0,1,4.218307894736842,0.0
133549.0,0.0,0.0,1.0,1.0,268.0,316.0,508.0,492.12598425196853,0.6619097280364008,1.0,1.0,3,0.6578947368421053,0.0
133550.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133551.0,0.0,0.0,1.0,1.0,457.0,127.0,319.0,758.9498432601881,1.0207879697903002,1.0,1.0,3,0.6371184210526316,0.0
133552.0,,,,1.0,268.0,,508.0,,,0.0,,0,0.6578947368421053,
133553.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133554.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6449947368421053,
133556.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133557.0,,,,1.0,534.0,,242.0,,,0.0,,0,0.6578947368421053,
133558.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133559.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6449947368421053,
133560.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6469105263157895,
133561.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6469105263157895,
133562.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133563.0,-0.0013878883340048922,-0.13878883340048923,0.9986121116659951,1.0,447.0,,329.0,745.7629179331307,1.0030515477435424,1.0,1.0,1,0.646571052631579,0.0
133564.0,,,,1.0,534.0,130.0,242.0,,,0.0,,0,0.6578947368421053,
133565.0,0.0,0.0,1.0,1.0,268.0,301.0,508.0,492.12598425196853,0.6619097280364008,1.0,1.0,1,0.6578947368421053,0.0
133566.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.6578947368421053,
133567.0,0.0,0.0,1.0,1.0,457.0,201.0,319.0,768.3322884012539,1.0334073638283512,1.0,1.0,1,0.6449947368421053,0.0
133568.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133569.0,0.0,0.0,1.0,1.0,268.0,316.0,508.0,492.12598425196853,0.6619097280364008,1.0,1.0,3,0.6578947368421053,0.0
133570.0,,,,1.0,268.0,,508.0,,,0.0,,0,0.6578947368421053,
133571.0,,,,1.0,268.0,,508.0,,,0.0,,0,0.6578947368421053,
133572.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6469105263157895,
133573.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133574.0,,,,1.0,447.0,,329.0,,,0.0,,0,0.646571052631579,
133575.0,,,,1.0,253.0,,523.0,,,0.0,,0,0.6578947368421053,
133576.0,,,,1.0,253.0,,523.0,,,0.0,,0,0.6578947368421053,
133577.0,,,,1.0,457.0,,319.0,,,0.0,,0,0.6469105263157895,
133578.0,,,,1.0,253.0,,523.0,,,0.0,,0,0.6578947368421053,
133579.0,0.0,0.0,1.0,1.0,444.0,,332.0,745.4698795180723,1.0026574109090278,1.0,1.0,1,0.6513052631578947,0.0
133580.0,,,,1.0,444.0,,332.0,,,0.0,,0,0.6513052631578947,
133581.0,,,,1.0,544.0,,232.0,,,0.0,,0,0.6578947368421053,
133582.0,,,,1.0,544.0,,232.0,,,0.0,,0,0.6578947368421053,
133583.0,,,,1.0,544.0,,232.0,,,0.0,,0,0.6578947368421053,
133584.0,0.0,0.0,1.0,1.0,253.0,513.0,523.0,476.65583173996174,0.6411023641304519,1.0,1.0,1,0.6560289473684211,0.0
133585.0,-0.002836,-0.2836,0.997164,1.0,253.0,513.0,523.0,476.65583173996174,0.6411023641304519,1.0,1.0,1,0.6578947368421053,0.0
133586.0,,,,1.0,253.0,,523.0,,,0.0,,0,0.6560289473684211,
133587.0,,,,1.0,444.0,,332.0,,,0.0,,0,0.6513052631578947,
133588.0,-0.002836,-0.2836,0.997164,1.0,253.0,514.0,523.0,476.65583173996174,0.6411023641304519,1.0,1.0,4,0.6578947368421053,0.0
