project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
133166.0,6.1,NORMAL,0.178
133167.0,18.0,NORMAL,0.1209
133190.0,0.4,NORMAL,0.2053
133191.0,44.9,ANOMALY,-0.008
133301.0,1.7,NORMAL,0.1992
133303.0,3.9,NORMAL,0.1888
133304.0,8.9,NORMAL,0.1648
133305.0,11.4,NORMAL,0.1526
133306.0,6.4,NORMAL,0.1765
133307.0,7.2,NORMAL,0.1728
133308.0,5.4,NORMAL,0.1812
133309.0,8.4,NORMAL,0.1672
133310.0,5.6,NORMAL,0.1805
133311.0,1.3,NORMAL,0.2012
133312.0,7.3,NORMAL,0.1721
133409.0,7.7,NORMAL,0.1704
133447.0,29.6,NORMAL,0.0654
133549.0,12.9,NORMAL,0.1454
133550.0,18.2,NORMAL,0.1201
133551.0,16.7,NORMAL,0.1274
133552.0,8.4,NORMAL,0.1669
133553.0,18.2,NORMAL,0.1201
133554.0,18.3,NORMAL,0.1197
133556.0,18.2,NORMAL,0.1201
133557.0,22.2,NORMAL,0.1009
133558.0,18.2,NORMAL,0.1201
133559.0,18.3,NORMAL,0.1197
133560.0,18.3,NORMAL,0.1197
133561.0,18.3,NORMAL,0.1197
133562.0,18.2,NORMAL,0.1201
133563.0,17.2,NORMAL,0.125
133564.0,22.7,NORMAL,0.0984
133565.0,12.3,NORMAL,0.1482
133566.0,18.1,NORMAL,0.1203
133567.0,18.5,NORMAL,0.1186
133568.0,18.2,NORMAL,0.1201
133569.0,12.9,NORMAL,0.1454
133570.0,8.4,NORMAL,0.1669
133571.0,8.4,NORMAL,0.1669
133572.0,18.3,NORMAL,0.1197
133573.0,18.2,NORMAL,0.1201
133574.0,18.2,NORMAL,0.1201
133575.0,7.0,NORMAL,0.1736
133576.0,7.0,NORMAL,0.1736
133577.0,18.3,NORMAL,0.1197
133578.0,7.0,NORMAL,0.1736
133579.0,15.5,NORMAL,0.1328
133580.0,18.1,NORMAL,0.1204
133581.0,22.2,NORMAL,0.1009
133582.0,22.2,NORMAL,0.1009
133583.0,22.2,NORMAL,0.1009
133584.0,19.8,NORMAL,0.1121
133585.0,22.4,NORMAL,0.0998
133586.0,7.0,NORMAL,0.1736
133587.0,18.1,NORMAL,0.1204
133588.0,22.4,NORMAL,0.0999
133589.0,22.2,NORMAL,0.1009
133590.0,22.2,NORMAL,0.1009
133591.0,26.0,NORMAL,0.0826
133592.0,7.0,NORMAL,0.1736
133593.0,21.8,NORMAL,0.1025
133594.0,22.2,NORMAL,0.1009
133595.0,18.1,NORMAL,0.1204
133596.0,22.0,NORMAL,0.1017
133597.0,6.3,NORMAL,0.1773
133598.0,7.0,NORMAL,0.1736
133599.0,22.2,NORMAL,0.1009
133600.0,19.8,NORMAL,0.1121
133601.0,19.8,NORMAL,0.1121
133602.0,20.4,NORMAL,0.1097
133603.0,22.2,NORMAL,0.1009
133604.0,22.2,NORMAL,0.1009
133605.0,22.2,NORMAL,0.1009
133606.0,6.5,NORMAL,0.1759
133607.0,6.5,NORMAL,0.1759
133608.0,6.5,NORMAL,0.1759
133609.0,22.2,NORMAL,0.1009
133610.0,22.5,NORMAL,0.0996
133611.0,22.2,NORMAL,0.1009
133612.0,6.5,NORMAL,0.1759
133613.0,22.2,NORMAL,0.1009
133614.0,22.2,NORMAL,0.1009
133686.0,5.4,NORMAL,0.1815
133687.0,5.4,NORMAL,0.1815
133688.0,5.4,NORMAL,0.1815
133689.0,5.4,NORMAL,0.1815
133690.0,5.4,NORMAL,0.1815
133691.0,5.4,NORMAL,0.1815
133692.0,12.5,NORMAL,0.1476
133693.0,5.4,NORMAL,0.1815
133694.0,5.4,NORMAL,0.1815
133695.0,4.5,NORMAL,0.1856
133696.0,7.2,NORMAL,0.173
133697.0,21.8,NORMAL,0.1028
133698.0,4.6,NORMAL,0.1855
133699.0,5.2,NORMAL,0.1821
133700.0,9.1,NORMAL,0.1635
133701.0,7.2,NORMAL,0.173
133702.0,5.8,NORMAL,0.1794
133703.0,7.2,NORMAL,0.173
133772.0,9.0,NORMAL,0.1643
133773.0,4.7,NORMAL,0.1845
133774.0,4.9,NORMAL,0.1837
133775.0,4.9,NORMAL,0.1837
133776.0,4.9,NORMAL,0.1837
133904.0,55.4,ANOMALY,-0.0585
133905.0,48.1,ANOMALY,-0.0235
133906.0,45.1,ANOMALY,-0.0092
133909.0,30.7,NORMAL,0.0602
133910.0,30.5,NORMAL,0.0609
133911.0,29.1,NORMAL,0.0678
133912.0,31.4,NORMAL,0.0569
133913.0,35.4,NORMAL,0.0376
133919.0,34.1,NORMAL,0.0438
133920.0,37.4,NORMAL,0.028
133921.0,36.7,NORMAL,0.0314
133929.0,37.3,NORMAL,0.0286
133940.0,12.0,NORMAL,0.1499
133941.0,12.0,NORMAL,0.1499
133944.0,12.0,NORMAL,0.1499
133945.0,12.0,NORMAL,0.1499
133946.0,12.0,NORMAL,0.1499
133947.0,9.3,NORMAL,0.1626
133949.0,12.0,NORMAL,0.1499
133955.0,12.0,NORMAL,0.1499
133959.0,12.0,NORMAL,0.1499
133960.0,15.8,NORMAL,0.1313
133961.0,5.6,NORMAL,0.1802
133962.0,5.6,NORMAL,0.1802
133963.0,5.6,NORMAL,0.1802
133964.0,12.0,NORMAL,0.1499
133965.0,5.6,NORMAL,0.1802
133966.0,5.6,NORMAL,0.1802
133967.0,5.6,NORMAL,0.1802
133968.0,5.6,NORMAL,0.1802
133969.0,5.6,NORMAL,0.1802
133970.0,5.6,NORMAL,0.1802
133971.0,3.9,NORMAL,0.1884
133973.0,9.0,NORMAL,0.1642
133975.0,9.0,NORMAL,0.1642
133976.0,9.0,NORMAL,0.1642
134022.0,9.7,NORMAL,0.1605
134023.0,9.7,NORMAL,0.1605
134024.0,9.9,NORMAL,0.16
134025.0,8.3,NORMAL,0.1677
134026.0,9.7,NORMAL,0.1607
134031.0,24.1,NORMAL,0.0919
134034.0,32.9,NORMAL,0.0493
134035.0,40.3,NORMAL,0.0141
134037.0,40.8,NORMAL,0.0118
134038.0,28.3,NORMAL,0.0717
134039.0,6.8,NORMAL,0.1747
134041.0,11.3,NORMAL,0.1533
134091.0,4.8,NORMAL,0.1844
134092.0,17.6,NORMAL,0.1228
134093.0,4.3,NORMAL,0.1868
134094.0,17.4,NORMAL,0.1241
134095.0,12.6,NORMAL,0.147
134096.0,17.6,NORMAL,0.1228
134100.0,8.9,NORMAL,0.1648
134101.0,1.3,NORMAL,0.2012
134102.0,11.9,NORMAL,0.15
134103.0,19.1,NORMAL,0.1158
134104.0,10.3,NORMAL,0.1579
134105.0,1.9,NORMAL,0.1983
134106.0,8.5,NORMAL,0.1665
134107.0,12.3,NORMAL,0.1483
134123.0,43.5,ANOMALY,-0.0012
134136.0,12.7,NORMAL,0.1466
134137.0,3.9,NORMAL,0.1884
134140.0,9.9,NORMAL,0.1598
134143.0,15.7,NORMAL,0.1321
134144.0,9.6,NORMAL,0.1611
134145.0,10.5,NORMAL,0.1569
134222.0,20.5,NORMAL,0.109
134223.0,20.9,NORMAL,0.1073
134224.0,20.5,NORMAL,0.109
134225.0,20.9,NORMAL,0.1073
134321.0,30.3,NORMAL,0.0621
134322.0,19.9,NORMAL,0.1119
134323.0,23.0,NORMAL,0.0971
134327.0,4.0,NORMAL,0.1881
134328.0,4.0,NORMAL,0.1881
134329.0,2.6,NORMAL,0.1948
134330.0,4.0,NORMAL,0.1881
134331.0,4.0,NORMAL,0.1883
134332.0,10.7,NORMAL,0.1561
134334.0,2.7,NORMAL,0.1945
134337.0,4.0,NORMAL,0.1881
134338.0,1.2,NORMAL,0.2014
134429.0,9.1,NORMAL,0.1637
