project_id_1,project_id_2,similarity,similarity_pct,desc_1_preview,desc_2_preview,block
219963.0,219995.0,0.8699,87.0,Construction of Compound wall to TW.PS. Jatharla village,Extension of Compound wall to TW PS. Jatharla Village,ADILABAD(ST)
219974.0,295878.0,1.0,100.0,Extension of Community hall at Pittabonguram,Extension of Community hall at Pittabonguram,ADILABAD(ST)
222645.0,222654.0,0.733,73.3,Providing High Mast Lights in BC Locality at Jainath,Providing High Mast Lights in BC Locality at Bela,ADILABAD(ST)
222645.0,222667.0,0.733,73.3,Providing High Mast Lights in BC Locality at Jainath,Providing High Mast Lights in BC Locality at Mavala,ADILABAD(ST)
222646.0,222655.0,0.732,73.2,Providing High Mast Lights in SC Locality at Jainath,Providing High Mast Lights in SC Locality at Bela,ADILABAD(ST)
222646.0,222668.0,0.732,73.2,Providing High Mast Lights in SC Locality at Jainath,Providing High Mast Lights in SC Locality at Mavala,ADILABAD(ST)
222654.0,222667.0,0.733,73.3,Providing High Mast Lights in BC Locality at Bela,Providing High Mast Lights in BC Locality at Mavala,ADILABAD(ST)
222655.0,222668.0,0.732,73.2,Providing High Mast Lights in SC Locality at Bela,Providing High Mast Lights in SC Locality at Mavala,ADILABAD(ST)
256521.0,256522.0,0.7814,78.1,Special repairs to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,Construction of Toilets to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,ADILABAD(ST)
256521.0,256523.0,0.772,77.2,Special repairs to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,Construction of Compound wall to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,ADILABAD(ST)
256522.0,256523.0,0.7843,78.4,Construction of Toilets to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,Construction of Compound wall to MP Redressal Center Near ZP Quarters Ward No 38 Adilabad,ADILABAD(ST)
295518.0,295525.0,1.0,100.0,Drilling of Borewell at BC Colony,Drilling of Borewell at BC Colony,ADILABAD(ST)
295529.0,295533.0,0.7538,75.4,Drilling of Borewell at SC Colony,Drilling of Borewell at SC Colony of Rangapet,ADILABAD(ST)
295529.0,295561.0,1.0,100.0,Drilling of Borewell at SC Colony,Drilling of Borewell at SC Colony,ADILABAD(ST)
295533.0,295561.0,0.7538,75.4,Drilling of Borewell at SC Colony of Rangapet,Drilling of Borewell at SC Colony,ADILABAD(ST)
250120.0,250121.0,0.701,70.1,For installation of Solar Panel at Shri Param Pujya Trilokchandraji Vidyamandir at Devkaran na Muvad,For installation of Water Cooler at Shri Param Pujya Trilokchandraji Vidyamandir at Devkaran na Muva,AHMEDABAD EAST
291389.0,291418.0,1.0,100.0,"To repair leakage of ceiling slab, leakage of tap water, window glass, door etc... repair and renova","To repair leakage of ceiling slab, leakage of tap water, window glass, door etc... repair and renova",AHMEDABAD EAST
