project_id,agency_risk,agency_risk_confidence
133166.0,2.2,HIGH
133167.0,2.2,HIGH
133190.0,2.2,HIGH
133191.0,0.4,HIGH
133301.0,2.2,HIGH
133303.0,2.2,HIGH
133304.0,2.2,HIGH
133305.0,2.2,HIGH
133306.0,2.2,HIGH
133307.0,2.2,HIGH
133308.0,2.2,HIGH
133309.0,2.2,HIGH
133310.0,2.2,HIGH
133311.0,2.2,HIGH
133312.0,2.2,HIGH
133409.0,0.0,HIGH
133447.0,9.2,HIGH
133549.0,5.3,HIGH
133550.0,5.3,HIGH
133551.0,5.3,HIGH
133552.0,5.3,HIGH
133553.0,5.3,HIGH
133554.0,5.3,HIGH
133556.0,5.3,HIGH
133557.0,5.3,HIGH
133558.0,5.3,HIGH
133559.0,5.3,HIGH
133560.0,5.3,HIGH
133561.0,5.3,HIGH
133562.0,5.3,HIGH
133563.0,5.3,HIGH
133564.0,5.3,HIGH
133565.0,5.3,HIGH
133566.0,5.3,HIGH
133567.0,5.3,HIGH
133568.0,5.3,HIGH
133569.0,5.3,HIGH
133570.0,5.3,HIGH
133571.0,5.3,HIGH
133572.0,5.3,HIGH
133573.0,5.3,HIGH
133574.0,5.3,HIGH
133575.0,5.3,HIGH
133576.0,5.3,HIGH
133577.0,5.3,HIGH
133578.0,5.3,HIGH
133579.0,5.3,HIGH
133580.0,5.3,HIGH
133581.0,5.3,HIGH
133582.0,5.3,HIGH
133583.0,5.3,HIGH
133584.0,5.3,HIGH
133585.0,5.3,HIGH
133586.0,5.3,HIGH
133587.0,5.3,HIGH
133588.0,5.3,HIGH
133589.0,5.3,HIGH
133590.0,5.3,HIGH
133591.0,5.3,HIGH
133592.0,5.3,HIGH
133593.0,5.3,HIGH
133594.0,5.3,HIGH
133595.0,5.3,HIGH
133596.0,5.3,HIGH
133597.0,5.3,HIGH
133598.0,5.3,HIGH
133599.0,5.3,HIGH
133600.0,5.3,HIGH
133601.0,5.3,HIGH
133602.0,5.3,HIGH
133603.0,5.3,HIGH
133604.0,5.3,HIGH
133605.0,5.3,HIGH
133606.0,5.3,HIGH
133607.0,5.3,HIGH
133608.0,5.3,HIGH
133609.0,5.3,HIGH
133610.0,5.3,HIGH
133611.0,5.3,HIGH
133612.0,5.3,HIGH
133613.0,5.3,HIGH
133614.0,5.3,HIGH
133686.0,0.0,HIGH
133687.0,0.0,HIGH
133688.0,0.0,HIGH
133689.0,0.0,HIGH
133690.0,0.0,HIGH
133691.0,0.0,HIGH
133692.0,0.0,HIGH
133693.0,0.0,HIGH
133694.0,0.0,HIGH
133695.0,0.0,HIGH
133696.0,0.0,HIGH
133697.0,0.0,HIGH
133698.0,0.0,HIGH
133699.0,0.0,HIGH
133700.0,2.9,HIGH
133701.0,0.0,HIGH
133702.0,0.0,HIGH
133703.0,0.0,HIGH
133772.0,5.3,HIGH
133773.0,5.3,HIGH
133774.0,5.3,HIGH
133775.0,5.3,HIGH
133776.0,5.3,HIGH
133904.0,0.0,HIGH
133905.0,0.0,HIGH
133906.0,0.0,HIGH
133909.0,0.0,HIGH
133910.0,0.0,HIGH
133911.0,0.0,HIGH
133912.0,0.0,HIGH
133913.0,0.0,HIGH
133919.0,0.0,HIGH
133920.0,0.0,HIGH
133921.0,0.0,HIGH
133929.0,0.0,HIGH
133940.0,0.0,HIGH
133941.0,0.0,HIGH
133944.0,0.0,HIGH
133945.0,0.0,HIGH
133946.0,0.0,HIGH
133947.0,0.0,HIGH
133949.0,0.0,HIGH
133955.0,0.0,HIGH
133959.0,0.0,HIGH
133960.0,0.0,HIGH
133961.0,0.0,HIGH
133962.0,0.0,HIGH
133963.0,0.0,HIGH
133964.0,0.0,HIGH
133965.0,0.0,HIGH
133966.0,0.0,HIGH
133967.0,0.0,HIGH
133968.0,0.0,HIGH
133969.0,0.0,HIGH
133970.0,0.0,HIGH
133971.0,0.0,HIGH
133973.0,0.0,HIGH
133975.0,0.0,HIGH
133976.0,0.0,HIGH
134022.0,0.0,HIGH
134023.0,0.0,HIGH
134024.0,0.0,HIGH
134025.0,0.5,HIGH
134026.0,0.5,HIGH
134031.0,0.0,HIGH
134034.0,0.5,HIGH
134035.0,0.5,HIGH
134037.0,0.5,HIGH
134038.0,0.5,HIGH
134039.0,0.5,HIGH
134041.0,0.5,HIGH
134091.0,2.8,HIGH
134092.0,2.8,HIGH
134093.0,2.8,HIGH
134094.0,2.8,HIGH
134095.0,2.8,HIGH
134096.0,2.8,HIGH
134100.0,2.8,HIGH
134101.0,2.8,HIGH
134102.0,2.8,HIGH
134103.0,2.8,HIGH
134104.0,2.8,HIGH
134105.0,2.8,HIGH
134106.0,2.8,HIGH
134107.0,2.8,HIGH
134123.0,4.7,HIGH
134136.0,4.7,HIGH
134137.0,4.7,HIGH
