project_id,rule_risk,ml_anomaly_risk,duplicate_risk,agency_risk,risk_score,risk_category,data_quality_score,evidence_count,confidence,top_reasons
133166.0,0.0,6.1,0.0,2.2,2.3,LOW,85.0,2,HIGH,No significant risk indicators detected
133167.0,0.0,18.0,0.0,2.2,5.8,LOW,70.0,2,MODERATE,No significant risk indicators detected
133190.0,57.1,0.4,0.0,2.2,17.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
133191.0,0.0,44.9,0.0,0.4,13.6,LOW,85.0,2,HIGH,No significant risk indicators detected
133301.0,0.0,1.7,0.0,2.2,1.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133303.0,0.0,3.9,0.0,2.2,1.6,LOW,85.0,2,HIGH,No significant risk indicators detected
133304.0,0.0,8.9,0.0,2.2,3.1,LOW,85.0,2,HIGH,No significant risk indicators detected
133305.0,57.1,11.4,0.0,2.2,21.0,LOW,70.0,3,MODERATE,Compliance rule violation detected
133306.0,0.0,6.4,0.0,2.2,2.4,LOW,85.0,2,HIGH,No significant risk indicators detected
133307.0,0.0,7.2,0.0,2.2,2.6,LOW,85.0,2,HIGH,No significant risk indicators detected
133308.0,0.0,5.4,0.0,2.2,2.1,LOW,85.0,2,HIGH,No significant risk indicators detected
133309.0,0.0,8.4,0.0,2.2,3.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133310.0,0.0,5.6,0.0,2.2,2.1,LOW,85.0,2,HIGH,No significant risk indicators detected
133311.0,57.1,1.3,0.0,2.2,18.0,LOW,70.0,3,MODERATE,Compliance rule violation detected
133312.0,0.0,7.3,0.0,2.2,2.6,LOW,85.0,2,HIGH,No significant risk indicators detected
133409.0,0.0,7.7,0.0,0.0,2.3,LOW,85.0,1,HIGH,No significant risk indicators detected
133447.0,0.0,29.6,0.0,9.2,10.7,LOW,85.0,2,HIGH,No significant risk indicators detected
133549.0,0.0,12.9,0.0,5.3,4.9,LOW,85.0,2,HIGH,No significant risk indicators detected
133550.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133551.0,0.0,16.7,0.0,5.3,6.1,LOW,85.0,2,HIGH,No significant risk indicators detected
133552.0,57.1,8.4,0.0,5.3,20.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
133553.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133554.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133556.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133557.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133558.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133559.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133560.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133561.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133562.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133563.0,0.0,17.2,0.0,5.3,6.2,LOW,85.0,2,HIGH,No significant risk indicators detected
133564.0,0.0,22.7,0.0,5.3,7.9,LOW,70.0,2,MODERATE,No significant risk indicators detected
133565.0,0.0,12.3,0.0,5.3,4.8,LOW,85.0,2,HIGH,No significant risk indicators detected
133566.0,0.0,18.1,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133567.0,0.0,18.5,0.0,5.3,6.6,LOW,85.0,2,HIGH,No significant risk indicators detected
133568.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133569.0,0.0,12.9,0.0,5.3,4.9,LOW,85.0,2,HIGH,No significant risk indicators detected
133570.0,57.1,8.4,0.0,5.3,20.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
133571.0,57.1,8.4,0.0,5.3,20.7,LOW,70.0,3,MODERATE,Compliance rule violation detected
133572.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133573.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133574.0,0.0,18.2,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133575.0,57.1,7.0,0.0,5.3,20.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
133576.0,57.1,7.0,0.0,5.3,20.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
133577.0,0.0,18.3,0.0,5.3,6.6,LOW,70.0,2,MODERATE,No significant risk indicators detected
133578.0,57.1,7.0,0.0,5.3,20.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
133579.0,0.0,15.5,0.0,5.3,5.7,LOW,85.0,2,HIGH,No significant risk indicators detected
133580.0,0.0,18.1,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133581.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133582.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133583.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133584.0,0.0,19.8,0.0,5.3,7.0,LOW,85.0,2,HIGH,No significant risk indicators detected
133585.0,0.0,22.4,0.0,5.3,7.8,LOW,85.0,2,HIGH,No significant risk indicators detected
133586.0,57.1,7.0,0.0,5.3,20.3,LOW,70.0,3,MODERATE,Compliance rule violation detected
133587.0,0.0,18.1,0.0,5.3,6.5,LOW,70.0,2,MODERATE,No significant risk indicators detected
133588.0,0.0,22.4,0.0,5.3,7.8,LOW,85.0,2,HIGH,No significant risk indicators detected
133589.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
133590.0,0.0,22.2,0.0,5.3,7.7,LOW,70.0,2,MODERATE,No significant risk indicators detected
