HOUSE_OF_PARLIAMENT,CALAMITY_NAME,TENURE,MP_NAME,CRT_DT,Sno,CONSENTED_AMOUNT,TENURE_START_DATE,TENURE_END_DATE,TYPE,Total_Amt
2,Flood 2025 in Punjab,18th Lok Sabha,Shri Gurjeet Singh Aujla,07-Dec-2025,1,7067400.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Flood 2025 in Punjab,18th Lok Sabha,GURMEET SINGH MEET HAYER,03-Nov-2025,2,7500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Flood 2025 in Punjab,18th Lok Sabha,Shri Jual Oram,10-Oct-2025,3,10000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Andhra Pradesh rainfall and consequent floods - 2024,18th Lok Sabha,Krishna Prasad Tenneti,26-Mar-2025,4,1000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Meppadi landslides 2024,18th Lok Sabha,SHAFI PARAMBIL,02-Mar-2025,5,2500000.0,"Jun 5, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Vilangad Landslides 2024,18th Lok Sabha,SHAFI PARAMBIL,01-Mar-2025,6,2500000.0,"Jun 5, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",State Calamity,
2,Meppadi landslides 2024,18th Lok Sabha,DR C N MANJUNATH,17-Feb-2025,7,500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Meppadi landslides 2024,18th Lok Sabha,Andimuthu Raja,05-Feb-2025,8,2500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",National Calamity,
2,Wayanad landslides 2024,18th Lok Sabha,Shri NK Premachandran,07-Dec-2024,9,1000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",State Calamity,
2,Vilangad Landslides 2024,18th Lok Sabha,Shri NK Premachandran,07-Dec-2024,10,1000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",State Calamity,
2,Wayanad landslides 2024,18th Lok Sabha,K RADHAKRISHNAN,04-Dec-2024,11,2500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",State Calamity,
2,Natural Calamity Affected Area,18th Lok Sabha,BIPLAB KUMAR DEB,03-Sep-2024,12,2500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",State Calamity,
,,,,,,,,,,40567400.0
