HOUSE_OF_PARLIAMENT,CALAMITY_NAME,TENURE,MP_NAME,CRT_DT,Sno,CONSENTED_AMOUNT,TENURE_START_DATE,TENURE_END_DATE,TYPE,Total_Amt
1,Flood 2025 in Punjab,Sitting MP,Shri Hardeep Singh Puri (2020-26),17-Nov-2025,1,10000000.0,"Nov 26, 2020 12:00:00 AM","Nov 25, 2026 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Dr. Ashok Kumar Mittal (2022-28),04-Nov-2025,2,10000000.0,"Apr 10, 2022 12:00:00 AM","Apr 9, 2028 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Shri Narain Dass Gupta (2024-30),03-Nov-2025,3,7500000.0,"Jan 28, 2024 12:00:00 AM","Jan 27, 2030 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Shri Sanjay Singh (2024-30),03-Nov-2025,4,10000000.0,"Jan 28, 2024 12:00:00 AM","Jan 27, 2030 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Shri Harbhajan Singh (2022-28),03-Nov-2025,5,10000000.0,"Apr 10, 2022 12:00:00 AM","Apr 9, 2028 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Dr. Sandeep Kumar Pathak (2022-28),29-Oct-2025,6,10000000.0,"Apr 10, 2022 12:00:00 AM","Apr 9, 2028 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Dr. Parmar Jashvantsinh Salamsinh (2024-30),07-Oct-2025,7,2500000.0,"Apr 3, 2024 12:00:00 AM","Apr 2, 2030 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Shri Narain Dass Gupta (2024-30),06-Oct-2025,8,2500000.0,"Jan 28, 2024 12:00:00 AM","Jan 27, 2030 11:59:59 PM",National Calamity,
1,Flood 2025 in Punjab,Sitting MP,Dr. Vikramjit Singh Sahney (2022-28),19-Sep-2025,9,10000000.0,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",National Calamity,
1,Meppadi landslides 2024,Sitting MP,Shri P. P. Suneer (2024-30),21-Apr-2025,10,7500000.0,"Jul 2, 2024 12:00:00 AM","Jul 1, 2030 11:59:59 PM",National Calamity,
1,Meppadi landslides 2024,Sitting MP,Dr. John Brittas (2021-27),17-Feb-2025,11,7500000.0,"Apr 24, 2021 12:00:00 AM","Apr 23, 2027 11:59:59 PM",National Calamity,
1,Meppadi landslides 2024,Sitting MP,Shri P. P. Suneer (2024-30),03-Feb-2025,12,2500000.0,"Jul 2, 2024 12:00:00 AM","Jul 1, 2030 11:59:59 PM",National Calamity,
1,Vilangad Landslides 2024,Sitting MP,Shri Abdul Wahab (2021-27),08-Dec-2024,13,1000000.0,"Apr 24, 2021 12:00:00 AM","Apr 23, 2027 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Nominated Rajya Sabha,Smt. P. T. Usha (2022-28),07-Dec-2024,14,500000.0,"Jul 7, 2022 12:00:00 AM","Jul 6, 2028 11:59:59 PM",State Calamity,
1,Vilangad Landslides 2024,Nominated Rajya Sabha,Smt. P. T. Usha (2022-28),07-Dec-2024,15,500000.0,"Jul 7, 2022 12:00:00 AM","Jul 6, 2028 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Sitting MP,Dr. V. Sivadasan (2021-27),04-Dec-2024,16,2500000.0,"Apr 24, 2021 12:00:00 AM","Apr 23, 2027 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Sitting MP,Shri A. A. Rahim (2022-28),04-Dec-2024,17,2500000.0,"Apr 3, 2022 12:00:00 AM","Apr 2, 2028 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Sitting MP,Shri Jose K. Mani (2024-30),25-Nov-2024,18,2500000.0,"Jul 2, 2024 12:00:00 AM","Jul 1, 2030 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Sitting MP,Shri Sandosh Kumar P (2022-28),17-Oct-2024,19,2500000.0,"Apr 3, 2022 12:00:00 AM","Apr 2, 2028 11:59:59 PM",State Calamity,
1,Wayanad landslides 2024,Sitting MP,Dr. John Brittas (2021-27),10-Sep-2024,20,2500000.0,"Apr 24, 2021 12:00:00 AM","Apr 23, 2027 11:59:59 PM",State Calamity,
,,,,,,,,,,104500000.0
