STATE_NAME,ACTIVITY_NAME,VENDOR_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,IA_NAME,TENURE,MP_NAME,LETTER_NO,VENDOR_ID,EXPENDITURE_DATE,FUND_DISBURSED_AMT,Sno,CONSTITUENCY,WORK_STATUS,WORK_RECOMMENDATION_DTL_ID,TENURE_START_DATE,TENURE_END_DATE,WORK_ID,Total_Amt
Uttar Pradesh,"Purchase of ambulances (Four, three and two wheelers)",FORCE MOTORS LIMITED,1,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),LUCKNOW UNIVERCITY LUCKNOW,Sitting MP,Dr. Dinesh Sharma (2023-26),LN/MP887/2025-2026/53,3764,20-Aug-2026,4282950.0,1,Sitting Rajya Sabha,Payment In-Progress,207251,"Sep 11, 2023 12:00:00 AM","Nov 25, 2026 11:59:59 PM",WS/MP887/2025-2026/207251,
Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",SARPANCH GRAM PANCHYAT Manikchauri,1,DURG(DISTRICT COLLECTOR DURG_IDA),CEO JP PATAN,Sitting MP,Shri Rajeev Shukla (2022-28),LN/MP176/2025-2026/13,3993,14-Aug-2026,259974.0,2,Sitting Rajya Sabha,Payment In-Progress,243305,"Jun 30, 2022 12:00:00 AM","Jun 29, 2028 11:59:59 PM",WS/MP176/2025-2026/243305,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,3,Sitting Rajya Sabha,Payment In-Progress,138282,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138282,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,4,Sitting Rajya Sabha,Payment In-Progress,138283,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138283,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,5,Sitting Rajya Sabha,Payment In-Progress,138284,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138284,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,6,Sitting Rajya Sabha,Payment In-Progress,138285,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138285,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,7,Sitting Rajya Sabha,Payment In-Progress,138286,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138286,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,8,Sitting Rajya Sabha,Payment In-Progress,138287,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138287,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,9,Sitting Rajya Sabha,Payment In-Progress,138289,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138289,
Uttar Pradesh,Installation of multi-gym equipment,BALAJI SUPPLIER,1,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),UPSMALL INDUSTRIES CORPORATION LTD,Sitting MP,Shri Surendra Singh Nagar (2022-28),LN/MP192/2024-2025/27,4150,01-Apr-2026,489765.0,10,Sitting Rajya Sabha,Payment In-Progress,138290,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",WS/MP192/2025-2026/138290,
Chhattisgarh,Development of playfields and sports grounds,GRAM PANCHAYAT MANAKONI,1,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),JANPAD PANCHAYAT KASDOL,Sitting MP,Smt. Ranjeet Ranjan (2022-28),LN/MP225/2025-2026/80,4337,17-Aug-2026,250000.0,11,Sitting Rajya Sabha,Payment In-Progress,250305,"Jun 30, 2022 12:00:00 AM","Jun 29, 2028 11:59:59 PM",WS/MP225/2025-2026/250305,
Puducherry,"Purchase of IT systems, including hardware and software for educational purposes",Defy Systems,1,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Bharathiar Palkalaikoodam,Sitting MP,Shri S. Selvaganabathy (2021-27),LN/MP139/2025-2026/37,4787,17-Aug-2026,211599.0,12,Sitting Rajya Sabha,Payment In-Progress,229075,"Oct 7, 2021 12:00:00 AM","Oct 6, 2027 11:59:59 PM",WS/MP139/2026-2027/229075,
