STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt
Maharashtra,2,18th Lok Sabha,1,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,HINGOLI,190289442.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Jammu And Kashmir,2,18th Lok Sabha,2,ABDUL RASHID SHEIKH,Lok Sabha,BARAMULLAH,154773472.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Bihar,2,18th Lok Sabha,3,ABHAY KUMAR SINHA,Lok Sabha,AURANGABAD_BR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
West Bengal,2,18th Lok Sabha,4,ABHIJIT GANGOPADHYAY,Lok Sabha,TAMLUK,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
West Bengal,2,18th Lok Sabha,5,Abu Taher Khan,Lok Sabha,MURSHIDABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
West Bengal,2,18th Lok Sabha,6,ADHIKARI SOUMENDU,Lok Sabha,KANTHI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,7,ADITYA YADAV,Lok Sabha,BADAUN,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Kerala,2,18th Lok Sabha,8,Adv Adoor Prakash ,Lok Sabha,ATTINGAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Kerala,2,18th Lok Sabha,9,Adv Dean Kuriakose,Lok Sabha,IDUKKI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Maharashtra,2,18th Lok Sabha,10,ADV GOWAAL KAGADA PADAVI,Lok Sabha,NANDURBAR(ST),147816309.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Kerala,2,18th Lok Sabha,11,ADV K FRANCIS GEORGE,Lok Sabha,KOTTAYAM,188722256.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,12,AFZAL ANSARI,Lok Sabha,GHAZIPUR,220500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Jammu And Kashmir,2,18th Lok Sabha,13,AGA SYED RUHULLAH MEHDI,Lok Sabha,SRINAGAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttarakhand,2,18th Lok Sabha,14,Ajay Bhatt,Lok Sabha,NAINITAL UDHAM SINGH NAG.,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Bihar,2,18th Lok Sabha,15,Ajay Kumar Mandal,Lok Sabha,BHAGALPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttarakhand,2,18th Lok Sabha,16,Ajay Tamta,Lok Sabha,ALMORA(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,17,AJENDRA SINGH LODHI,Lok Sabha,HAMIRPUR_UP,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 4, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,18,AKHILESH YADAV,Lok Sabha,KANNAUJ,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,19,AKSHAYA YADAV,Lok Sabha,FIROZABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Manipur,2,18th Lok Sabha,20,ALFRED KANNGAM S ARTHUR,Lok Sabha,OUTER MANIPUR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Bihar,2,18th Lok Sabha,21,Alok Kumar Suman,Lok Sabha,GOPALGANJ (SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Madhya Pradesh,2,18th Lok Sabha,22,ALOK SHARMA,Lok Sabha,BHOPAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Maharashtra,2,18th Lok Sabha,23,AMAR SHARADRAO KALE,Lok Sabha,WARDHA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Assam,2,18th Lok Sabha,24,AMARSING TISSO,Lok Sabha,Diphu (ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Andhra Pradesh,2,18th Lok Sabha,25,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,ANANTAPUR,201899064.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Maharashtra,2,18th Lok Sabha,26,Amol Ramsing Kolhe,Lok Sabha,SHIRUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Rajasthan,2,18th Lok Sabha,27,AMRARAM,Lok Sabha,SIKAR,165691544.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Punjab,2,18th Lok Sabha,28,AMRINDER SINGH RAJA WARRING,Lok Sabha,LUDHIANA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,29,ANAND BHADAURIYA,Lok Sabha,DHAURAHRA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttar Pradesh,2,18th Lok Sabha,30,ANAND KUMAR,Lok Sabha,BAHRAICH(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 4, 2029 11:59:59 PM",
Odisha,2,18th Lok Sabha,31,ANANTA NAYAK,Lok Sabha,KEONJHAR(ST),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Tamil Nadu,2,18th Lok Sabha,32,Andimuthu Raja,Lok Sabha,NILGIRIS(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Meghalaya,2,18th Lok Sabha,33,ANDREW J. SYNGKON,Lok Sabha,SHILLONG,98000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Manipur,2,18th Lok Sabha,34,ANGOMCHA BIMOL AKOIJAM,Lok Sabha,INNER MANIPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
Uttarakhand,2,18th Lok Sabha,35,ANIL BALUNI,Lok Sabha,GARHWAL,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",
