ID,CAPTION,_STATE_ID,_HOUSE
3042276,BISHNU PADA RAY,35,2
3042277,GM Harish Balayogi,2,2
3042278,C.M.RAMESH,2,2
3018943,Y S Avinash Reddy,2,2
3042279,AMBICA G LAKSHMINARAYANA VALMIKI,2,2
3042280,Gumma Thanuja Rani,2,2
3042281,Krishna Prasad Tenneti,2,2
3042282,DAGGUMALLA PRASADA RAO,2,2
3042283,Putta Mahesh Kumar,2,2
3042284,Dr Chandra Sekhar Pemmasani,2,2
3042285,B K PARTHASARATHI,2,2
3042286,TANGELLA UDAY SRINIVAS,2,2
3042287,BASTIPATI NAGARAJU PANCHALINGALA,2,2
3042288,Bhupathiraju Srinivasa varma,2,2
3042290,PRABHAKAR REDDY VEMIREDDY,2,2
3042292,Sivanath Kesineni,2,2
3042293,Sribharat MathuKumli,2,2
3042294,Appalanaidu Kalisetti,2,2
3018941,Midhun Reddy,2,2
3018342,Balashowry Vallabbhaneni,2,2
3018939,Kinjarapu Ram Mohan Naidu,2,2
3018946,Maddila Gurumoorthy,2,2
3018945,Lavu Sri Krishna Devarayalu,2,2
3043486,Daggubati Purandeshwari,2,2
3043545,DR BYREDDY SHABARI,2,2
3018340,Magunta Sreenivasulu Reddy,2,2
3017196,Shri S Niranjan Reddy (2022-28),2,1
3019255,Shri V. Vijayendra Prasad (2022-28),2,1
3043037,Shri Golla Baburao (2024-30),2,1
3043337,Shri Meda Raghunadha Reddy (2024-30),2,1
3044299,Shri Yerram Venkata Subba Reddy (2024-30),2,1
3050536,Shri Ryaga Krishnaiah (2024-28),2,1
3050537,Shri Masthan Rao Yadav Beedha (2024-28),2,1
3056236,Shri Paka Venkata Satyanarayana (2025-28),2,1
3066164,Shri Lingamaneni Ramesh (2026-32),2,1
3066214,Shri Bhashyam Rama Krishna (2026-32),2,1
3066270,Shri Vijay Chintakayala (2026-32),2,1
3050535,Shri Sana Sathish Babu (2026-32),2,1
3017378,Shri Tapir Gao,3,2
3018950,Kiren Rijiju,3,2
3066421,Shri Tai Tagak (2026-32),3,1
3042295,PHANI BHUSAN CHOUDHURY,5,2
3042296,RAKIBUL HUSSAIN,5,2
3042297,Shri Sarbananda Sonowal (18LS),5,2
3042299,BIJULI KALITA MEDHI,5,2
3042301,KAMAKHYA PRASAD TASA,5,2
3042298,AMARSING TISSO,5,2
3042302,JOYANTA BASUMATARY,5,2
3042304,PARIMAL SUKLABAIDYA,5,2
3042305,RANJIT DUTTA,5,2
3018955,Dilip Saikia,5,2
3018957,Kripanath Mallah,5,2
3018347,Pradan Baruah,5,2
3042300,GAURAV GOGOI,5,2
3018958,Pradyut Bordoloi,5,2
3017222,Shri Pabitra Margherita (2022-28),5,1
3019246,Shri Rwngwra Narzary (2022-28),5,1
3056512,Shri Kanad Purkayastha (2025-31),5,1
3017224,Shri Birendra Prasad Baishya (2025-31),5,1
3065277,Shri Jogen Mohan (2026-32),5,1
3065299,Shri Terash Gowalla (2026-32),5,1
3066097,Shri Pramod Boro (2026-32),5,1
3042306,SUDAMA PRASAD,6,2
3042307,ABHAY KUMAR SINHA,6,2
3042308,SUDHAKAR SINGH,6,2
3042309,JITAN RAM MANJHI,6,2
3042311,ARUN BHARTI,6,2
3042312,RAJA RAM SINGH,6,2
3042313,TARIQ ANWAR,6,2
3042314,RAJESH VERMA,6,2
3042315,RAJ BHUSHAN CHOUDHARY,6,2
3042317,RAJESH RANJAN ALIAS PAPPU YADAV,6,2
3042318,SHAMBHAVI,6,2
3042319,MANOJ KUMAR,6,2
3042320,DEVESH CHANDRA THAKUR,6,2
3042321,VIJAYLAKSHMI DEVI,6,2
3042316,MISHA BHARTI,6,2
3018355,Pradeep Kumar Singh,6,2
3018966,Giridhari Yadav,6,2
3018967,Giriraj Singh,6,2
3018351,Ajay Kumar Mandal,6,2
3018360,Ramprit Mandal,6,2
