STATE_NAME,STATE_ID
Andaman And Nicobar Islands,35
Andhra Pradesh,2
Arunachal Pradesh,3
Assam,5
Bihar,6
Chandigarh,7
Chhattisgarh,8
Delhi,11
Goa,12
Gujarat,27
Haryana,14
Himachal Pradesh,15
Jammu And Kashmir,16
Jharkhand,17
Karnataka,18
Kerala,36
Ladakh,130
Lakshadweep,19
Madhya Pradesh,20
Maharashtra,21
Manipur,22
Meghalaya,23
Mizoram,13
Nagaland,24
Odisha,25
Puducherry,26
Punjab,1
Rajasthan,28
Sikkim,29
Tamil Nadu,30
Telangana,129
The Dadra And Nagar Haveli And Daman And Diu,10
Tripura,31
Uttar Pradesh,33
Uttarakhand,32
West Bengal,34
