WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,IDA_NAME,WORK_DESCRIPTION,MP_NAME,FLAG,CONSTITUENCY_ID,LETTER_NO,ACTUAL_AMOUNT,Sno,CONSTITUENCY,ACTUAL_END_DATE,WORK_RECOMMENDATION_DTL_ID,WORK_ID,AVERAGE_RATING,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Pradeep Kumar Singh,3,44,LN/MP418/2024-2025/26,448127.0,1,ARARIA,05-Sep-2024,133409,52372,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,2,FARIDKOT(SC),07-Apr-2025,133691,54969,0.0,,,
Normal/Others,"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",Shri NK Premachandran,3,209,LN/MP345/2024-2025/21,293492.0,3,KOLLAM,12-Aug-2024,134140,55883,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school bajakhana main ,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,4,FARIDKOT(SC),07-Apr-2025,133686,56710,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,5,FARIDKOT(SC),07-Apr-2025,133690,56715,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Rauwala,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,6,FARIDKOT(SC),07-Apr-2025,133689,56722,0.0,,,
Normal/Others,WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",Shri NK Premachandran,3,209,LN/MP345/2024-2025/24,1182588.0,7,KOLLAM,28-Oct-2024,134143,56999,0.0,True,822763,
Normal/Others,WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),Shri NK Premachandran,3,209,LN/MP345/2024-2025/25,338444.0,8,KOLLAM,17-Aug-2024,134144,57616,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,9,FARIDKOT(SC),07-Apr-2025,133694,57807,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133696-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,84500.0,10,FARIDKOT(SC),07-Apr-2025,133696,57808,0.0,,,
