WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,TENURE_START_DATE,TENURE_END_DATE,SANCTION_DATE,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,Uttar Pradesh,1,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Sitting MP,Shri Javed Ali Khan (2022-28),"Construction of Class room
Sompal Singh Memorial Public School ",14-Jun-2023,1,545,Vendor Identification,LN/MP187/2023-2024/1,1000000.0,1,Sitting Rajya Sabha,1199,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",07-Nov-2023,,,
Normal/Others,WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,Uttar Pradesh,1,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Sitting MP,Shri Javed Ali Khan (2022-28),"Construction of Class room and Hall
Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya",14-Jun-2023,1,545,Physical Inspection,LN/MP187/2023-2024/1,1000000.0,2,Sitting Rajya Sabha,1200,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",08-Dec-2023,,,
Normal/Others,WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,Uttar Pradesh,1,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Sitting MP,Shri Javed Ali Khan (2022-28),"Construction of Classroom and hall
Galaxy Public School lakhna",14-Jun-2023,1,545,Work Completed,LN/MP187/2023-2024/3,1000000.0,3,Sitting Rajya Sabha,1211,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",15-Mar-2024,True,1695968,
Normal/Others,"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,1,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Sitting MP,Shri Shambhu Sharan Patel (2022-28),P.C.C ??? ?? ??????? ,14-Jun-2023,1,545,Work Completed,LN/MP001/2023-2024/1,1484933.0,4,Sitting Rajya Sabha,1215,"Jul 8, 2022 12:00:00 AM","Jul 7, 2028 11:59:59 PM",12-Aug-2023,,,
Normal/Others,"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,1,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Sitting MP,Shri Shambhu Sharan Patel (2022-28),P.C.C ??? ?? ??????? ,14-Jun-2023,1,545,Work Completed,LN/MP001/2023-2024/1,1486089.0,5,Sitting Rajya Sabha,1216,"Jul 8, 2022 12:00:00 AM","Jul 7, 2028 11:59:59 PM",12-Aug-2023,,,
Normal/Others,"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,1,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Sitting MP,Shri Shambhu Sharan Patel (2022-28),P.C.C ??? ?? ??????? ,14-Jun-2023,1,545,Work Completed,LN/MP001/2023-2024/1,1484550.0,6,Sitting Rajya Sabha,1217,"Jul 8, 2022 12:00:00 AM","Jul 7, 2028 11:59:59 PM",12-Aug-2023,,,
Normal/Others,"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,1,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Sitting MP,Shri Shambhu Sharan Patel (2022-28),P.C.C ??? ?? ???????,14-Jun-2023,1,545,Physical Inspection,LN/MP001/2023-2024/1,1484940.0,7,Sitting Rajya Sabha,1218,"Jul 8, 2022 12:00:00 AM","Jul 7, 2028 11:59:59 PM",12-Aug-2023,True,342211,
Normal/Others,WS/MP190/2023-2024/1301-Street lights,Uttar Pradesh,1,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Sitting MP,Shri Mithlesh Kumar (2022-28),LED Semi HighMast Light,19-Jun-2023,1,545,Physical Inspection,LN/MP190/2023-2024/1,243000.0,8,Sitting Rajya Sabha,1301,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",24-Aug-2023,True,2187290,
Normal/Others,WS/MP190/2023-2024/1302-Street lights,Uttar Pradesh,1,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Sitting MP,Shri Mithlesh Kumar (2022-28),LED Semi Highmast Light,19-Jun-2023,1,545,Physical Inspection,LN/MP190/2023-2024/1,243000.0,9,Sitting Rajya Sabha,1302,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",24-Aug-2023,True,2187287,
Normal/Others,WS/MP190/2023-2024/1303-Street lights,Uttar Pradesh,1,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Sitting MP,Shri Mithlesh Kumar (2022-28),LED SEMI High Mast Light,19-Jun-2023,1,545,Physical Inspection,LN/MP190/2023-2024/1,243000.0,10,Sitting Rajya Sabha,1303,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",24-Aug-2023,True,2187286,
